normalized_word,frequency,earliest_grade
कम,100.0,1.0
प्रोफेसर,99.0,1.0
साझा,99.0,1.0
लगी,99.0,1.0
पाठ्यपुस्तक,99.0,1.0
पा,99.0,1.0
इसका,99.0,1.0
देख,99.0,1.0
रष,99.0,1.0
विद्यार्थियों,98.0,3.0
लगाइए,98.0,1.0
देना,98.0,1.0
अंत,97.0,1.0
पेड़,97.0,1.0
इसलिए,96.0,2.0
धीरे,96.0,2.0
दिखाई,96.0,1.0
करेंगे,95.0,1.0
कुमार,95.0,1.0
इकाई,94.0,1.0
मिट्ठू,93.0,9.0
तत,93.0,1.0
वर्णन,93.0,3.0
जगह,93.0,1.0
आता,93.0,1.0
देखने,92.0,1.0
गाँव,92.0,1.0
लिया,92.0,2.0
इसमें,91.0,1.0
होगी,91.0,1.0
बादल,91.0,1.0
पद,90.0,1.0
गोपालप्रसाद,90.0,9.0
प्रस्तुत,90.0,1.0
ध्व,90.0,7.0
रोचक,90.0,1.0
छोटा,89.0,1.0
श,89.0,1.0
प्रकृति,89.0,1.0
प्रयास,89.0,1.0
रहते,88.0,1.0
आस,88.0,1.0
चला,88.0,2.0
इनके,87.0,1.0
पत्थर,87.0,1.0
सम्मिलित,87.0,1.0
साहित्य,87.0,1.0
विभिन्न,87.0,1.0
प्रदेश,87.0,1.0
हमने,86.0,1.0
पी,86.0,1.0
लेते,86.0,1.0
लीजिए,86.0,1.0
मिल,86.0,1.0
दुनिया,86.0,1.0
सोच,86.0,1.0
समान,85.0,1.0
आते,85.0,1.0
आवश्यक,85.0,1.0
लिखने,85.0,1.0
सूची,85.0,3.0
देखते,84.0,2.0
संबंधित,84.0,1.0
कह,83.0,1.0
रखते,83.0,1.0
प्रेम,83.0,3.0
तुम्हें,82.0,2.0
क्षेत्र,82.0,1.0
स्वतंत्रता,82.0,1.0
निम्नलिखित,82.0,1.0
रहता,81.0,2.0
तू,81.0,2.0
गाय,81.0,1.0
आर,81.0,1.0
एस,81.0,1.0
छोटी,81.0,1.0
उसमें,81.0,1.0
यही,80.0,1.0
यक्ष,80.0,1.0
ध्वनि,80.0,1.0
मित्रों,80.0,1.0
जान,80.0,1.0
जाकर,80.0,1.0
किए,80.0,1.0
बन,80.0,1.0
विकसित,79.0,1.0
हंस,79.0,4.0
पक्षी,79.0,3.0
संसार,78.0,1.0
पूर्व,78.0,1.0
मल,78.0,2.0
कैसा,78.0,1.0
विकास,78.0,1.0
सो,78.0,2.0
सारे,77.0,1.0
देर,77.0,1.0
रेखांकित,77.0,3.0
प्रश्नों,77.0,1.0
मोती,77.0,1.0
पंक्त,77.0,8.0
संबंध,76.0,1.0
भोजन,76.0,2.0
उसी,76.0,2.0
पहचान,76.0,1.0
ताई,76.0,9.0
संस्कृति,76.0,1.0
आकाश,76.0,1.0
ना,75.0,1.0
आसमान,75.0,1.0
बताया,75.0,2.0
प्रत्येक,75.0,1.0
बोला,75.0,1.0
सहायक,74.0,1.0
सिद्धार्थ,74.0,5.0
इंटरनेट,74.0,6.0
आशा,74.0,1.0
लाल,74.0,1.0
तेनाली,73.0,4.0
नयन,73.0,4.0
रह,73.0,1.0
जानते,73.0,1.0
हाथी,73.0,1.0
त्रि,73.0,2.0
चित्रों,73.0,1.0
सीखने,73.0,2.0
प्राप्त,73.0,1.0
आती,73.0,1.0
खड़े,72.0,1.0
पक्षियों,72.0,1.0
देती,72.0,1.0
धरती,71.0,1.0
प्रशिक्षण,71.0,1.0
सिर,71.0,1.0
सदस्य,71.0,1.0
मिट्टी,71.0,1.0
दें,71.0,1.0
अति,71.0,2.0
बनाकर,71.0,1.0
स्कूल,70.0,1.0
प्रकाशन,70.0,1.0
पैर,70.0,1.0
नदी,70.0,1.0
चल,70.0,1.0
आँखों,70.0,3.0
जल्दी,70.0,1.0
कितने,70.0,1.0
खाना,70.0,1.0
मल्ल,70.0,8.0
अथवा,70.0,1.0
वर्ष,70.0,1.0
क्रम,69.0,1.0
माता,69.0,1.0
इनका,69.0,1.0
प्रसन्न,68.0,3.0
शेर,68.0,1.0
तालाब,68.0,1.0
एकांकी,68.0,3.0
माध्यम,68.0,1.0
आम,68.0,1.0
बनाया,68.0,1.0
त्योहार,67.0,1.0
अतिरिक्त,67.0,1.0
ची,67.0,2.0
साहब,67.0,3.0
रखा,67.0,1.0
विद्यार्थी,66.0,3.0
लक्ष्य,66.0,1.0
तरफ,66.0,2.0
नगर,66.0,1.0
मान,65.0,1.0
पशु,65.0,1.0
हृदय,65.0,4.0
स्तर,65.0,1.0
नया,65.0,1.0
सोचिए,65.0,1.0
अच्छी,65.0,1.0
पूरी,65.0,1.0
राज्य,64.0,3.0
पड़,64.0,2.0
जुड़े,64.0,1.0
दूसरा,64.0,1.0
हेतु,64.0,1.0
पार,64.0,1.0
इतना,64.0,1.0
जैसी,64.0,1.0
जिस,64.0,3.0
खूब,64.0,1.0
राम,64.0,3.0
इतनी,63.0,2.0
ला,63.0,1.0
आवश्यकता,63.0,1.0
रहने,63.0,1.0
पाठ्यचर्या,63.0,1.0
गोल,63.0,1.0
दृश्य,63.0,3.0
लता,63.0,2.0
आदमी,63.0,4.0
प्रकाश,63.0,1.0
सुनकर,63.0,1.0
आपका,63.0,2.0
गर्मी,62.0,2.0
शीर्षक,62.0,1.0
रहती,62.0,1.0
जानकारी,62.0,2.0
दूध,62.0,1.0
क्योंकि,62.0,1.0
इतने,62.0,1.0
शब्दकोश,62.0,5.0
जीत,62.0,1.0
सोचा,62.0,2.0
भारती,62.0,1.0
गतिविधि,62.0,1.0
देखो,61.0,1.0
जिसमें,61.0,1.0
वन्य,61.0,8.0
शुरू,61.0,1.0
निकल,61.0,1.0
जन्म,61.0,3.0
ज्ञान,61.0,1.0
भूमि,61.0,3.0
शैक्षिक,61.0,1.0
जैसा,61.0,1.0
अरे,61.0,2.0
लेने,61.0,1.0
बाल,61.0,1.0
अवश्य,61.0,1.0
सकती,61.0,1.0
साक्षात्कार,61.0,6.0
आवाज़,60.0,1.0
किसान,60.0,1.0
जिससे,60.0,1.0
थोड़ा,60.0,1.0
उद्यान,60.0,3.0
कथा,60.0,2.0
बाबा,60.0,1.0
चलता,59.0,1.0
जय,59.0,1.0
रानी,59.0,1.0
रख,59.0,1.0
पूछा,59.0,1.0
गतिविधियों,59.0,1.0
गतिविधियाँ,59.0,1.0
चींटी,59.0,1.0
देखिये,59.0,1.0
वृक्ष,59.0,2.0
बैठे,59.0,1.0
शिक्षकों,58.0,1.0
प्रकट,58.0,1.0
सुन,58.0,2.0
सम्मान,58.0,3.0
ऊँट,58.0,1.0
परिचय,58.0,3.0
चले,58.0,1.0
जाएगा,58.0,1.0
हीरासिंह,58.0,5.0
हमारी,58.0,1.0
शंकर,58.0,3.0
हीरा,58.0,3.0
पड़ा,58.0,3.0
बैलों,57.0,2.0
मनुष्य,57.0,3.0
लग,57.0,2.0
समिति,57.0,1.0
इससे,57.0,1.0
जाओ,57.0,1.0
संख्या,57.0,1.0
ढंग,57.0,1.0
सूरज,56.0,1.0
काल,56.0,4.0
शरीर,56.0,1.0
समुद्र,56.0,1.0
चाहते,56.0,2.0
विस्तार,56.0,3.0
नानी,56.0,1.0
बहन,56.0,1.0
पढ़ा,56.0,3.0
अभ्यास,56.0,1.0
सहयोग,56.0,1.0
खड़ा,56.0,1.0
भीतर,56.0,1.0
लगते,55.0,1.0
लगती,55.0,1.0
अध्यापक,55.0,1.0
निर्माण,55.0,1.0
प्रवेश,55.0,2.0
बंद,55.0,1.0
स्थानों,55.0,3.0
बोले,55.0,1.0
रेखा,55.0,1.0
आदित्य,54.0,1.0
डर,54.0,2.0
मिला,54.0,1.0
कला,54.0,1.0
लिखना,54.0,1.0
ती,54.0,2.0
मिले,54.0,3.0
बिना,54.0,1.0
सुंदरियाँ,53.0,5.0
ताकि,53.0,1.0
पर्यावरण,53.0,1.0
क्रिया,53.0,4.0
थोड़ी,53.0,1.0
पौधे,53.0,1.0
चित्रकार,53.0,1.0
लगाकर,53.0,1.0
पिता,53.0,1.0
जाल,52.0,2.0
आभार,52.0,1.0
दरबारी,52.0,4.0
असम,52.0,3.0
विशेषताएँ,52.0,3.0
पड़ता,52.0,1.0
लो,52.0,2.0
उनसे,52.0,1.0
सुबह,52.0,1.0
परिवेश,52.0,3.0
मेंढक,52.0,1.0
चारों,52.0,1.0
पहली,52.0,1.0
स्थिति,52.0,2.0
एंजेला,52.0,6.0
भिन्न,51.0,3.0
लिखा,51.0,2.0
टोकरी,51.0,3.0
मुख,51.0,1.0
बचपन,51.0,2.0
स्पष्ट,51.0,1.0
बनाए,51.0,1.0
किंतु,51.0,3.0
होली,51.0,1.0
एम,51.0,1.0
बल,51.0,1.0
बनाना,51.0,1.0
वस्तुओं,51.0,1.0
इनमें,50.0,1.0
दूसरी,50.0,1.0
उद्देश्य,50.0,1.0
देखे,50.0,1.0
उड़,50.0,3.0
सौ,50.0,2.0
ऋतु,50.0,3.0
अंदर,50.0,1.0
चली,50.0,1.0
अनुसंधान,50.0,1.0
चलो,50.0,2.0
दोहे,50.0,6.0
बोल,50.0,1.0
त्यों,50.0,3.0
मिलान,50.0,2.0
पढ़कर,50.0,1.0
पूरे,49.0,1.0
तुम्हारी,49.0,2.0
सके,49.0,3.0
आपस,49.0,1.0
